"Code-PageID","Name","ACP","OEMCP","WindowsNT 3.1","WindowsNT 3.51","Windows95"
"1200","Windows 3.11","","","X","X","*"
"1250","Windows 3.1 Eastern European","X","","X","X","X"
"1251","Windows 3.1 Cyrillic","X","","X","X","X"
"1252","Windows 3.1 US (ANSI)","X","","X","X","X"
"1253","Windows 3.1 Greek","X","","X","X","X"
"1254","Windows 3.1 Turkish","X","","X","X","X"
"1255","Hebrew","X","","","","X"
"1256","Arabic","X","","","","X"
"1257","Baltic","X","","","","X"
"1361","Korean (Johab)","X","","","**","X"
"437","MS-DOS United States","","X","X","X","X"
"708","Arabic (ASMO 708)","","X","","","X"
"709","Arabic (ASMO 449+, BCON V4)","","X","","","X"
"710","Arabic (Transparent Arabic)","","X","","","X"
"720","Arabic (Transparent ASMO)","","X","","","X"
